0,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,0.286,1,Mask Off,Future,Rap,data/albumCovers/MaskOff_Future.jpg,Epic,1,1,1,32
1,0.199,0.743,326933,0.359,0.00611,1,0.137,-10.401,1,0.0794,160.083,4,0.588,1,Redbone,Childish Gambino,Hip-hop,data/albumCovers/RedBone_ChildishGambino.jpg,Liberator,2,2,2,12
2,0.0344,0.838,185707,0.412,0.000234,2,0.159,-7.148,1,0.289,75.044,4,0.173,1,Xanny Family,Future,Rap,data/albumCovers/XannyFamily_Future.jpg,Epic,1,3,1,83
3,0.604,0.494,199413,0.338,0.51,5,0.0922,-15.236,1,0.0261,86.468,4,0.23,1,Master Of None,Beach House,Indie Rock,data/albumCovers/MasterOfNone_BeachHouse.jpg,Mistletone,3,4,3,2
4,0.18,0.678,392893,0.561,0.512,5,0.439,-11.648,0,0.0694,174.004,4,0.904,1,Parallel Lines,Junior Boys,Electronic,data/albumCovers/ParallelLines_JuniorBoys.jpg,City Slang,4,5,4,74
5,0.00479,0.804,251333,0.56,0,8,0.164,-6.682,1,0.185,85.023,4,0.264,1,Sneakin’,Drake,Rap,data/albumCovers/Sneakin_Drake.jpg,Motown,5,6,5,39
6,0.0145,0.739,241400,0.472,0.00000727,1,0.207,-11.204,1,0.156,80.03,4,0.308,1,Childs Play,Drake,Rap,data/albumCovers/ChildsPlay_Drake.jpg,Motown,5,7,5,84
7,0.0481,0.603,202853,0.944,0,11,0.342,-3.626,0,0.347,130.035,4,0.398,1,I've Seen Footage,Death Grips,Hip-hop,data/albumCovers/IveSeenFootage_DeathGrips.jpg,Death Bomb Arc,6,8,6,52
8,0.00208,0.836,226840,0.603,0,7,0.571,-7.792,1,0.237,99.994,4,0.386,1,Digital Animal,Honey Claws,Electronic,data/albumCovers/DigitalAnimal_HoneyClaws.jpg,Unsigned,7,9,7,9
9,0.0572,0.525,358187,0.855,0.0143,5,0.649,-7.372,0,0.0548,111.951,3,0.524,1,Subways - In Flagranti Extended Edit,The Avalanches,Hip-hop,data/albumCovers/Subways_TheAvalanches.jpg,Elektra,8,10,8,48
10,0.253,0.603,356973,0.434,0.0619,0,0.108,-11.062,1,0.0342,127.681,4,0.381,1,Cemalim,Erkin Koray,Rock,data/albumCovers/Cemalim_ErkinKoray.jpg,Ada,9,11,9,71
11,0.366,0.762,243270,0.476,0,0,0.103,-12.686,1,0.114,130.007,4,0.367,1,One Night,Lil Yachty,Rap,data/albumCovers/OneNight_LilYachty.jpg,Motown,10,12,10,65
12,0.44,0.662,247288,0.603,0,9,0.0972,-8.317,0,0.0793,125.011,4,0.351,1,Oh lala,PNL,Hip-hop,data/albumCovers/OhLala_PNL.jpg,Musicast,11,13,11,91
13,0.019,0.637,188333,0.832,0.0563,6,0.316,-6.637,1,0.163,99.988,4,0.317,1,Char,Crystal Castles,Electronic,data/albumCovers/Char_CrystalCastles.jpg,Fiction,12,14,12,43
